player_name,goals,xG,Actual to xG,Goals to xG %,assists,xA,Assists to xA %,Actual to xA,year
Sergio Agüero,26,25.270175583660603,0.7298244163393974,2.888086051967495,8,5.568926602602005,43.65425459660591,2.431073397397995,2014
Harry Kane,21,17.15730034559965,3.8426996544003487,22.39687816262941,4,3.922502458095551,1.9757168474044893,0.07749754190444902,2014
Diego Costa,20,15.21911308169365,4.780886918306351,31.413702576775336,3,4.554670616053045,-34.13354657466495,-1.5546706160530448,2014
Charlie Austin,18,17.88185734860599,0.11814265139400959,0.6606844529112609,5,2.5487459590658545,96.17490641682308,2.4512540409341455,2014
Alexis Sánchez,16,13.45174823794514,2.5482517620548606,18.9436474499773,8,8.494180873036385,-5.817875560021264,-0.4941808730363846,2014
Olivier Giroud,14,8.84634429961443,5.1536557003855705,58.25746235775827,3,3.8601363133639097,-22.2825372872479,-0.8601363133639097,2014
Eden Hazard,14,12.01608707383275,1.9839129261672497,16.510473950272768,9,11.238891988992693,-19.920931629073856,-2.238891988992693,2014
Saido Berahino,14,13.841749838553367,0.15825016144663273,1.1432814730248861,1,1.961659412831068,-49.02275117387481,-0.961659412831068,2014
Christian Benteke,13,8.455075968056917,4.544924031943083,53.753792977303824,2,2.921320070512593,-31.53779963422263,-0.9213200705125928,2014
David Silva,12,9.096988203004004,2.9030117969959957,31.91179027842824,7,10.388411475345492,-32.6172243310453,-3.3884114753454924,2014
Wayne Rooney,12,8.902098581194878,3.0979014188051224,34.79967549841836,5,3.983559735119343,25.515878572615552,1.0164402648806572,2014
Graziano Pellè,12,18.616504695266485,-6.616504695266485,-35.541068549505034,2,4.481623421423137,-55.373314267335275,-2.481623421423137,2014
Wilfried Bony,11,10.454738814383743,0.5452611856162566,5.21544531429212,3,3.508293155580759,-14.488331876490998,-0.508293155580759,2014
Nacer Chadli,11,6.86552703101188,4.13447296898812,60.22076601421169,5,3.935559631325305,27.046734604202737,1.064440368674695,2014
Leonardo Ulloa,11,8.923917897045612,2.0760821029543877,23.264244773494653,3,3.7919961232692,-20.885995067589757,-0.7919961232691999,2014
Papiss Demba Cissé,11,8.957140743732452,2.0428592562675476,22.80704651980589,1,0.334677891805768,198.7947589261005,0.665322108194232,2014
Mame Biram Diouf,11,11.646968324668704,-0.6469683246687037,-5.554821706678821,3,3.466141242533922,-13.448420301336297,-0.4661412425339222,2014
Danny Ings,11,12.289508447051048,-1.2895084470510483,-10.492758539585646,4,4.244325045496225,-5.756511173796306,-0.24432504549622536,2014
Romelu Lukaku,10,12.430796798318624,-2.4307967983186245,-19.55463384814891,5,2.350205228663981,112.74737793185601,2.649794771336019,2014
Christian Eriksen,10,7.38963361363858,2.61036638636142,35.32470651242616,2,6.088786491192877,-67.15273227443762,-4.088786491192877,2014
Diafra Sakho,10,9.070379790849984,0.9296202091500163,10.248966753165048,2,2.615855161100626,-23.543167460445467,-0.615855161100626,2014
Sadio Mané,10,8.5539753716439,1.4460246283560991,16.904708811175855,3,3.982480129227042,-24.67005728457285,-0.9824801292270422,2014
Yaya Touré,10,7.109346902929246,2.8906530970707536,40.65989656349059,1,3.2435795087367296,-69.16986319261007,-2.2435795087367296,2014
Robin van Persie,10,11.6034690849483,-1.6034690849482995,-13.8188766929045,2,2.9860517624765635,-33.02192463196802,-0.9860517624765635,2014
Juan Mata,9,6.5977520532906055,2.4022479467093945,36.41009736810709,4,4.968639085069299,-19.49505827420727,-0.9686390850692987,2014
Steven Gerrard,9,7.108821363188326,1.8911786368116736,26.603265720035967,1,3.20907860994339,-68.83840748240067,-2.20907860994339,2014
Ki Sung-yueng,8,4.3305724542588,3.6694275457411996,84.73308285449852,1,1.2641469975933433,-20.895275477948434,-0.26414699759334326,2014
Jonathan Walters,8,5.561566700227559,2.4384332997724414,43.84435953402608,4,3.240074263419956,23.4539604588547,0.759925736580044,2014
Peter Crouch,8,6.730622369796038,1.2693776302039623,18.85973629868688,2,1.883066506125033,6.209737866114586,0.1169334938749671,2014
Nikica Jelavic,8,4.894789764657617,3.1052102353423834,63.43909308962095,1,0.8632267005741596,15.844424104915673,0.13677329942584038,2014
Kevin Mirallas,7,4.7185029946267605,2.2814970053732395,48.35213642910295,1,1.5895474329590795,-37.08901167306383,-0.5895474329590795,2014
Raheem Sterling,7,8.785912945866585,-1.7859129458665848,-20.327004795862273,7,6.036621885374188,15.958894443263533,0.9633781146258116,2014
Loïc Remy,7,4.655210020020604,2.344789979979396,50.36915563197335,0,0.6052642147988081,-100.0,-0.6052642147988081,2014
Gylfi Sigurdsson,7,5.177992397919297,1.8220076020807028,35.18752949140772,10,8.451312126591802,18.32482163965165,1.5486878734081984,2014
Bafétimbi Gomis,7,7.497829519212246,-0.49782951921224594,-6.639648420074375,0,0.8869193764403462,-100.0,-0.8869193764403462,2014
Ayoze Pérez,7,5.7461924236267805,1.2538075763732195,21.81979794512108,0,2.900992516428232,-100.0,-2.900992516428232,2014
Charlie Adam,7,3.407766289077699,3.592233710922301,105.41314768080903,1,2.649148471653461,-62.25202133061829,-1.649148471653461,2014
Glenn Murray,7,9.534023240208626,-2.534023240208626,-26.578739912460875,3,1.5268471762537956,96.48331847858321,1.4731528237462044,2014
Santiago Cazorla,7,10.5907253138721,-3.5907253138721007,-33.90443248649688,11,9.755182644352317,12.76057456872281,1.2448173556476831,2014
Aaron Ramsey,6,6.636921921744943,-0.6369219217449427,-9.59664629559913,6,5.299689516425133,13.214179460974474,0.7003104835748672,2014
Jason Puncheon,6,2.794277905486524,3.205722094513476,114.72452644094872,7,5.305931127630174,31.92783380749346,1.6940688723698258,2014
Ander Herrera,6,2.037225598469377,3.962774401530623,194.5181920209506,4,2.11998759675771,88.68034917362554,1.88001240324229,2014
Jordan Henderson,6,4.29442591406405,1.7055740859359503,39.715997436357505,9,6.793559268116951,32.47842029196919,2.206440731883049,2014
Marouane Fellaini,6,5.314917378127575,0.6850826218724251,12.889807557343008,0,1.151918701827526,-100.0,-1.151918701827526,2014
Oscar,6,6.540385385975242,-0.5403853859752417,-8.262286609807541,8,5.224342212080956,53.12932566899069,2.7756577879190436,2014
Leroy Fer,6,5.116700321435928,0.8832996785640717,17.263072352773364,2,3.586207481566817,-44.23077832835823,-1.586207481566817,2014
Steven Naismith,6,3.9483574014157057,2.0516425985842943,51.961927201642546,0,1.943706877529621,-100.0,-1.943706877529621,2014
Gabriel Agbonlahor,6,5.630619999021292,0.36938000097870827,6.560201204182017,1,1.5529492190107703,-35.6063940946504,-0.5529492190107703,2014
Stewart Downing,6,4.136292829178274,1.8637071708217263,45.057428180005694,8,6.626503786537796,20.727313493015078,1.3734962134622037,2014
Frank Lampard,6,4.004464207217097,1.9955357927829027,49.83277885681741,1,0.9529220964759588,4.940372743810008,0.047077903524041176,2014
Adam Lallana,5,4.768371887505055,0.23162811249494464,4.857593282560411,3,3.141798905096948,-4.513303027348678,-0.14179890509694815,2014
Philippe Coutinho,5,4.376542285084724,0.6234577149152756,14.245440219783143,5,5.527066104114056,-9.536091919033417,-0.5270661041140556,2014
James Milner,5,5.722099112346768,-0.7220991123467684,-12.619479288442776,7,4.971145084127784,40.812627302914265,2.0288549158722162,2014
Theo Walcott,5,5.347006626427174,-0.3470066264271736,-6.489736233206066,0,0.4013857021927833,-100.0,-0.4013857021927833,2014
Mile Jedinak,5,3.9022558932192624,1.0977441067807376,28.13101285049573,3,0.9916814006865023,202.5165136628777,2.0083185993134975,2014
Connor Wickham,5,7.663331899791956,-2.663331899791956,-34.75422876913709,1,1.7667267946526408,-43.39815284249358,-0.7667267946526408,2014
Andy Carroll,5,3.693270232528448,1.306729767471552,35.38137437013246,1,0.7689823769032955,30.041991862936595,0.23101762309670448,2014
Dame N&#039;Doye,5,5.468191267922521,-0.46819126792252064,-8.562086528849534,1,1.0798923633992672,-7.398178383981098,-0.0798923633992672,2014
Dwight Gayle,5,5.163300700485706,-0.16330070048570633,-3.1627191588966492,1,0.7665089014917612,30.461629089215275,0.2334910985082388,2014
Jamie Vardy,5,7.851607173681259,-2.851607173681259,-36.31877029253198,8,5.182644807733595,54.361340527568444,2.8173551922664046,2014
Shane Long,5,4.035827225074172,0.964172774925828,23.89033824182372,5,2.7357718478888278,82.76377848753938,2.2642281521111722,2014
John Terry,5,5.216808937489986,-0.21680893748998642,-4.155968525738299,0,0.3966271001845598,-100.0,-0.3966271001845598,2014
Steven Fletcher,5,6.642457719892263,-1.6424577198922634,-24.726656745944677,2,2.051580097526312,-2.5141644524873517,-0.051580097526311874,2014
Stevan Jovetic,5,3.329762941226363,1.6702370587736368,50.160839923291434,3,1.8126017600297928,65.50794918960526,1.1873982399702072,2014
George Boyd,5,3.479218583554029,1.520781416445971,43.71043037176726,2,3.5598804811015725,-43.818338547671736,-1.5598804811015725,2014
David Nugent,5,6.229936253279448,-1.2299362532794484,-19.742356956413605,2,1.890917195938528,5.768777411076977,0.10908280406147197,2014
Ashley Barnes,5,5.6908798180520535,-0.6908798180520535,-12.14012314687286,2,1.8230766840279105,9.704655735116678,0.17692331597208955,2014
Esteban Cambiasso,5,2.480084272101521,2.519915727898479,101.60605251382069,1,1.9381373124197123,-48.40406850474764,-0.9381373124197123,2014
Daniel Sturridge,4,4.518865872174501,-0.5188658721745014,-11.482214494780314,1,1.5182954035699368,-34.13666420587716,-0.5182954035699368,2014
Mesut Özil,4,3.8600258827209473,0.13997411727905273,3.6262481530404775,5,6.656995788216591,-24.89104456321881,-1.6569957882165909,2014
Danny Welbeck,4,7.272420795634389,-3.272420795634389,-44.99768216931029,3,2.887719358317554,3.8882116906215938,0.112280641682446,2014
Yannick Bolasie,4,4.837666932493448,-0.8376669324934483,-17.315514775666767,6,5.125395653769374,17.064133294517763,0.8746043462306261,2014
Wilfried Zaha,4,4.7616315223276615,-0.7616315223276615,-15.995179777274068,2,2.188598118722439,-8.617302423367253,-0.1885981187224388,2014
Cheikhou Kouyaté,4,3.0627197325229645,0.9372802674770355,30.602874220715453,2,1.1875272747129202,68.41718439549035,0.8124727252870798,2014
Enner Valencia,4,6.480698708444834,-2.4806987084448338,-38.278260108162385,3,2.593669313006103,15.66624877567578,0.40633068699389696,2014
Morgan Schneiderlin,4,2.391752235591412,1.608247764408588,67.24140320541665,1,1.5581406876444817,-35.82094300407818,-0.5581406876444817,2014
Phil Jagielka,4,2.394630601629615,1.6053693983703852,67.04037763811608,0,0.0706789996474981,-100.0,-0.0706789996474981,2014
Chris Smalling,4,1.863545533269644,2.136454466730356,114.64460774306306,0,0.3918706057593226,-100.0,-0.3918706057593226,2014
Fraizer Campbell,4,4.221141066402197,-0.22114106640219688,-5.2388930605127095,0,0.4663840681314468,-100.0,-0.4663840681314468,2014
Branislav Ivanovic,4,4.3701117252931,-0.3701117252930999,-8.469159338672897,5,5.315748207271099,-5.93986387164098,-0.3157482072710991,2014
Falcao,4,7.156317615881562,-3.1563176158815622,-44.10533161464139,4,1.894074559211731,111.18492830951203,2.105925440788269,2014
Jermain Defoe,4,4.020906526595354,-0.02090652659535408,-0.5199456007512909,0,1.2605447256937623,-100.0,-1.2605447256937623,2014
Riyad Mahrez,4,4.923194195143879,-0.9231941951438793,-18.751935401095814,3,6.056509723886848,-50.46652054122834,-3.0565097238868484,2014
Jack Colback,4,2.8249618243426085,1.1750381756573915,41.59483379676582,6,2.3404141180217266,156.36488661551905,3.6595858819782734,2014
Moussa Sissoko,4,3.952444814145565,0.04755518585443497,1.203184056719471,2,4.653361378237605,-57.020316338348266,-2.653361378237605,2014
Dusan Tadic,4,5.627575958147645,-1.627575958147645,-28.921439181842207,7,9.004418820142746,-22.260390816772006,-2.004418820142746,2014
Bojan,4,2.5972428917884827,1.4027571082115173,54.00946952811053,1,1.701795894652605,-41.23854669398328,-0.7017958946526051,2014
Adam Johnson,4,3.2225716952234507,0.7774283047765493,24.12446884979678,1,3.918955666013062,-74.48299788965596,-2.918955666013062,2014
Jordi Gómez,4,3.721914557740092,0.27808544225990817,7.471569751154061,2,1.792080918326974,11.60210342885255,0.20791908167302608,2014
Brown Ideye,4,3.969936303794384,0.030063696205615997,0.7572840948828758,2,1.2322598649188876,62.303427786447315,0.7677401350811124,2014
Edin Dzeko,4,3.9745049700140953,0.025495029985904694,0.6414642874585279,2,1.3088596984744072,52.804766036510905,0.6911403015255928,2014
Abel Hernández,4,5.410241030156612,-1.4102410301566124,-26.066140534145287,1,0.8517511058598757,17.40518951137273,0.14824889414012432,2014
