player_name,goals,xG,Actual to xG,Goals to xG %,assists,xA,Assists to xA %,Actual to xA,year,age
Erling Haaland,36,32.761399537324905,3.2386004626750946,9.885415484113777,8,5.8491098545491695,36.77294834491725,2.1508901454508305,2022,22.0
Harry Kane,30,23.06444012373686,6.935559876263142,30.070358695268663,3,7.547407771460712,-60.25125326679699,-4.547407771460712,2022,29.0
Ivan Toney,20,21.69119757413864,-1.6911975741386414,-7.796699874952842,4,4.909892840310931,-18.53182686270827,-0.9098928403109312,2022,26.0
Mohamed Salah,19,23.340063713490963,-4.340063713490963,-18.594909451692416,12,8.720245610922575,37.610802899511874,3.279754389077425,2022,30.0
Callum Wilson,18,18.856768030673265,-0.8567680306732655,-4.543557142345963,5,3.567963434383273,40.13596529091829,1.4320365656167269,2022,30.0
Marcus Rashford,17,18.761760517954823,-1.7617605179548228,-9.390166324044245,5,3.735412929207087,33.85401011237989,1.264587070792913,2022,24.0
Martin Odegaard,15,9.137760860845448,5.862239139154552,64.15400039930748,7,9.209956639446318,-23.995299065590125,-2.209956639446318,2022,23.0
Gabriel Martinelli,15,10.538134384900331,4.4618656150996685,42.340185199126864,5,9.349485490471125,-46.52112134837863,-4.349485490471125,2022,21.0
Ollie Watkins,15,17.486295863986015,-2.4862958639860158,-14.218539382641229,6,3.674034003168345,63.308232717112354,2.325965996831655,2022,26.0
Aleksandar Mitrovic,14,16.17901684064418,-2.1790168406441808,-13.468165971433784,1,2.334498234093189,-57.16424260271761,-1.3344982340931888,2022,28.0
Bukayo Saka,14,11.300049655139446,2.6999503448605537,23.893260890518057,11,7.042980744503439,56.18387156013086,3.9570192554965606,2022,20.0
Rodrigo,13,8.572983920574188,4.427016079425812,51.63915062060802,1,2.298705962486565,-56.49726340300278,-1.2987059624865651,2022,31.0
Harvey Barnes,13,9.120478011667728,3.879521988332272,42.536388809547496,1,3.107304636389017,-67.81776758257939,-2.107304636389017,2022,24.0
Roberto Firmino,11,8.122956335544586,2.877043664455414,35.41867696451835,4,3.054840091615916,30.939750691962537,0.9451599083840844,2022,30.0
Gabriel Jesus,11,16.171134389936924,-5.171134389936924,-31.97756116079804,6,4.243733491748571,41.38493879661099,1.7562665082514286,2022,25.0
Phil Foden,11,6.185852009803057,4.814147990196943,77.82514005455839,6,5.697479462251067,5.309725813902405,0.3025205377489328,2022,22.0
Miguel Almirón,11,8.727059464901686,2.2729405350983143,26.044746735593836,2,2.9551383573561907,-32.32127372238177,-0.9551383573561908,2022,28.0
Son Heung-Min,10,9.597895424813032,0.4021045751869678,4.189507776334216,6,6.334341483190656,-5.278235852580612,-0.3343414831906557,2022,31.0
Alexander Isak,10,8.784851711243391,1.215148288756609,13.832314177840791,1,1.7707323329523206,-43.52619075223458,-0.7707323329523206,2022,22.0
James Maddison,10,8.489387180656195,1.510612819343805,17.794132688232995,9,7.773198906332254,15.782448235929753,1.2268010936677456,2022,25.0
Taiwo Awoniyi,10,8.0510318800807,1.9489681199193,24.20768106435277,1,1.02802275121212,-2.725888233414973,-0.02802275121212,2022,24.0
Alexis Mac Allister,10,11.532242968678474,-1.5322429686784744,-13.286599778031388,2,3.928120201453567,-49.085061112439554,-1.928120201453567,2022,23.0
Eberechi Eze,10,6.831764040514827,3.168235959485173,46.37507883317384,4,4.619440779089928,-13.40943219564259,-0.6194407790899277,2022,24.0
Pascal Groß,9,5.954401790164411,3.045598209835589,51.14868490847163,8,11.246030485257506,-28.863788778740627,-3.2460304852575064,2022,31.0
James Ward-Prowse,9,5.408911099657416,3.591088900342584,66.39208584090117,4,6.058508426882327,-33.977148859750336,-2.0585084268823266,2022,27.0
Bryan Mbeumo,9,10.100785619579256,-1.1007856195792556,-10.898019827739978,8,7.65799580514431,4.465975218032195,0.34200419485569,2022,22.0
Darwin Núñez,9,14.374805428087711,-5.374805428087711,-37.39045690027629,3,5.6468874625861645,-46.87338786408082,-2.6468874625861645,2022,23.0
Julián Álvarez,9,7.753276175819337,1.2467238241806626,16.07996150155084,0,2.0468210969120264,-100.0,-2.0468210969120264,2022,22.0
Ilkay Gündogan,8,7.842695340514183,0.1573046594858169,2.0057474204461925,4,3.444544769823551,16.125649898430623,0.5554552301764488,2022,32.0
Danny Ings,8,8.25754163786769,-0.2575416378676891,-3.118865749179474,2,1.4635955430567265,36.64977387284128,0.5364044569432735,2022,30.0
